emoji_char,emoji_char_ascii,emjpd_emoji_name,emjpd_emoji_name_og,emjpd_aliases,emjpd_full_description,emjpd_shortcodes,emjpd_description_ref_emj,emjpd_usage_info,emjpd_description_main,emjpd_description_side
🤯,\U0001f92f,exploding_head,Exploding Head,['Mind Blown'],"A yellow face with an open mouth, the top of its head exploding in the shape of a brain-like mushroom cloud. A visual form of the expression mind blown, it may represent such emotions as shock, awe, amazement, and disbelief.
Apple’s design features the same expression as its 😦 Frowning Face With Open Mouth.

Exploding Head was approved as part of Unicode 10.0 in 2017
under the name “Shocked Face with Exploding Head”
and added to Emoji 5.0 in 2017.
","[':exploding_head:\n(Github, Slack, Emojipedia)\n', ':shocked_face_with_exploding_head:\n(Slack)\n']",['😦'],,"A yellow face with an open mouth, the top of its head exploding in the shape of a brain-like mushroom cloud. A visual form of the expression mind blown, it may represent such emotions as shock, awe, amazement, and disbelief.
Apple’s design features the same expression as its 😦 Frowning Face With Open Mouth.","Exploding Head was approved as part of Unicode 10.0 in 2017
under the name “Shocked Face with Exploding Head”
and added to Emoji 5.0 in 2017."
📗,\U0001f4d7,green_book,Green Book,[],"A closed, green, hardcover book. Commonly used for various content concerning reading, writing, learning, and schooling. May also be used as a green accent color.
Apple’s cover features the easter egg Vol. 2 by John Appleseed. Samsung’s previously included the text Green Book.

Green Book was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015.
","[':green_book:\n(Github, Slack, Emojipedia)\n']",[],"A closed, green, hardcover book. Commonly used for various content concerning reading, writing, learning, and schooling. May also be used as a green accent color.","A closed, green, hardcover book. Commonly used for various content concerning reading, writing, learning, and schooling. May also be used as a green accent color.
Apple’s cover features the easter egg Vol. 2 by John Appleseed. Samsung’s previously included the text Green Book.","Green Book was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
🐰,\U0001f430,rabbit_face,Rabbit Face,['Easter Bunny'],"A friendly, cartoon-styled face of a rabbit, looking straight ahead. Generally depicted as a gray and/or white rabbit face with upright ears and pink ears and nose, often with whiskers and a buck tooth.
Often used with a more affectionate tone than the full-bodied 🐇 rabbit. Also often used to represent the Easter Bunny.
Available as an Apple Animoji.
Microsoft’s rabbit face was previously pink-colored with one ear flopping down. Facebook’s rabbit face was previously gray-colored with both ears flopping down.

Rabbit Face was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015.
","[':rabbit:\n(Github, Slack)\n', ':rabbit_face:\n(Emojipedia)\n']",['🐇'],,"A friendly, cartoon-styled face of a rabbit, looking straight ahead. Generally depicted as a gray and/or white rabbit face with upright ears and pink ears and nose, often with whiskers and a buck tooth.
Often used with a more affectionate tone than the full-bodied 🐇 rabbit. Also often used to represent the Easter Bunny.
Available as an Apple Animoji.
Microsoft’s rabbit face was previously pink-colored with one ear flopping down. Facebook’s rabbit face was previously gray-colored with both ears flopping down.","Rabbit Face was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
🥱,\U0001f971,yawning_face,Yawning Face,[],"A yellow face with eyes closed and mouth wide open covered by a hand. Captured mid-yawn, this may represent having insufficient sleep, or to imply boredom with a person or topic.
Not to be confused with 😪 Sleepy Face or 😴 Sleeping Face, which often convey actually being asleep, or 😫 Tired Face which is tired as in ""fed up"".

Yawning Face was approved as part of Unicode 12.0 in 2019
and added to Emoji 12.0 in 2019.
","[':yawning_face:\n(Github, Slack, Emojipedia)\n']","['😫', '😴', '😪']","Not to be confused with 😪 Sleepy Face or 😴 Sleeping Face, which often convey actually being asleep, or 😫 Tired Face which is tired as in ""fed up"".","A yellow face with eyes closed and mouth wide open covered by a hand. Captured mid-yawn, this may represent having insufficient sleep, or to imply boredom with a person or topic.
Not to be confused with 😪 Sleepy Face or 😴 Sleeping Face, which often convey actually being asleep, or 😫 Tired Face which is tired as in ""fed up"".","Yawning Face was approved as part of Unicode 12.0 in 2019
and added to Emoji 12.0 in 2019."
🔖,\U0001f516,bookmark,Bookmark,"['Price Tag', 'Tag']","A bookmark, as used to mark one's place in a book. May also represent bookmarks on an internet browser. Appearance varies across platforms, but generally depicted at a 45° angle as a thin, white or red strip with a decorative tie and design, such as flower or star.
May be used for various content concerning reading, labeling, or tagging.
WhatsApp’s bookmark is purple. Twitter’s design shows a red bookmark in a closed book, similar to previous designs from Microsoft. Twitter and Google’s designs previously featured a blue bookmark.
Not to be confused with 🏷️ Label.

Bookmark was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015.
","[':bookmark:\n(Github, Slack, Emojipedia)\n']",['🏷️'],"May be used for various content concerning reading, labeling, or tagging.
Not to be confused with 🏷️ Label.","A bookmark, as used to mark one's place in a book. May also represent bookmarks on an internet browser. Appearance varies across platforms, but generally depicted at a 45° angle as a thin, white or red strip with a decorative tie and design, such as flower or star.
May be used for various content concerning reading, labeling, or tagging.
WhatsApp’s bookmark is purple. Twitter’s design shows a red bookmark in a closed book, similar to previous designs from Microsoft. Twitter and Google’s designs previously featured a blue bookmark.
Not to be confused with 🏷️ Label.","Bookmark was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
🦧,\U0001f9a7,orangutan,Orangutan,[],"An orangutan, the orange-haired ape with long arms. Depicted facing forward, with a long broad face and sitting with its legs bent. Occasionally shown scratching its head. Color varies across platforms, ranging from orange to light brown.
This emoji is considered racist in some contexts, especially when used to disparage, insult, and abuse people with dark skin, especially Black people.

Orangutan was approved as part of Unicode 12.0 in 2019
and added to Emoji 12.0 in 2019.
","[':orangutan:\n(Github, Slack, Emojipedia)\n']",[],,"An orangutan, the orange-haired ape with long arms. Depicted facing forward, with a long broad face and sitting with its legs bent. Occasionally shown scratching its head. Color varies across platforms, ranging from orange to light brown.
This emoji is considered racist in some contexts, especially when used to disparage, insult, and abuse people with dark skin, especially Black people.","Orangutan was approved as part of Unicode 12.0 in 2019
and added to Emoji 12.0 in 2019."
🚞,\U0001f69e,mountain_railway,Mountain Railway,"['Funicular', 'Train And Mountain']","A train and railway in the mountains.
Previously displayed as a funicular in Microsoft’s artwork. Android also previously displayed this train as front-facing and leaving a tunnel, which appeared similarly to the metro emoji at small sizes.

Mountain Railway was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015.
","[':mountain_railway:\n(Github, Slack, Emojipedia)\n']",[],,"A train and railway in the mountains.
Previously displayed as a funicular in Microsoft’s artwork. Android also previously displayed this train as front-facing and leaving a tunnel, which appeared similarly to the metro emoji at small sizes.","Mountain Railway was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
🌔,\U0001f314,waxing_gibbous_moon,Waxing Gibbous Moon,[],"A waxing gibbous moon (appearing more than half full and getting larger), the fourth of the eight phases of the moon. Depicts the moon as a cratered disc, mostly illuminated in gold or silver, but with its left side a dark crescent.
May be used to represent the moon more generally, nighttime, outer space, and astronomy. May also be used to convey enchanting or eerie feelings.
Not to be confused with 🌖 Waning Gibbous Moon, though their applications may overlap. Used as part of the Moon Emoji Creep meme.
Samsung’s design once resembled a full moon with stars and previously displayed as a waning gibbous moon in a night sky with stars.

Waxing Gibbous Moon was approved as part of Unicode 6.0 in 2010
under the name “Waxing Gibbous Moon Symbol”
and added to Emoji 1.0 in 2015.
","[':moon:\n(Github, Slack)\n', ':waxing_gibbous_moon:\n(Github, Slack, Emojipedia)\n']",['🌖'],"Not to be confused with 🌖 Waning Gibbous Moon, though their applications may overlap. Used as part of the Moon Emoji Creep meme.","A waxing gibbous moon (appearing more than half full and getting larger), the fourth of the eight phases of the moon. Depicts the moon as a cratered disc, mostly illuminated in gold or silver, but with its left side a dark crescent.
May be used to represent the moon more generally, nighttime, outer space, and astronomy. May also be used to convey enchanting or eerie feelings.
Not to be confused with 🌖 Waning Gibbous Moon, though their applications may overlap. Used as part of the Moon Emoji Creep meme.
Samsung’s design once resembled a full moon with stars and previously displayed as a waning gibbous moon in a night sky with stars.","Waxing Gibbous Moon was approved as part of Unicode 6.0 in 2010
under the name “Waxing Gibbous Moon Symbol”
and added to Emoji 1.0 in 2015."
🕵️‍♀️,\U0001f575\ufe0f\u200d\u2640\ufe0f,woman_detective,Woman Detective,[],"The female version of the 🕵 Sleuth or Spy emoji.
The Woman Detective emoji is a ZWJ sequence combining 🕵️ Detective, ‍ Zero Width Joiner and ♀️ Female Sign.
These display as a single emoji on supported platforms.

Woman Detective was added to Emoji 4.0 in 2016.
","[':woman_detective:\n(Emojipedia)\n', ':female_detective:\n(Github)\n', ':female-detective:\n(Slack)\n']","['♀️', '🕵️']",,"The female version of the 🕵 Sleuth or Spy emoji.
The Woman Detective emoji is a ZWJ sequence combining 🕵️ Detective, ‍ Zero Width Joiner and ♀️ Female Sign.
These display as a single emoji on supported platforms.",Woman Detective was added to Emoji 4.0 in 2016.
🥿,\U0001f97f,flat_shoe,Flat Shoe,[],"A flat shoe, in a style generally worn by women. More practical than a high-heeled shoe.

Flat Shoe was approved as part of Unicode 11.0 in 2018
and added to Emoji 11.0 in 2018.
","[':flat_shoe:\n(Github, Emojipedia)\n', ':womans_flat_shoe:\n(Slack)\n']",[],,"A flat shoe, in a style generally worn by women. More practical than a high-heeled shoe.","Flat Shoe was approved as part of Unicode 11.0 in 2018
and added to Emoji 11.0 in 2018."
🧔,\U0001f9d4,person-_beard,Person: Beard,['Bearded Person'],"A person with a visible beard. Intended to be gender neutral from 2021. New gender-specific options for a woman with a beard or man with a beard were approved in Emoji 13.1.

Person: Beard was approved as part of Unicode 10.0 in 2017
under the name “Bearded Person”
and added to Emoji 5.0 in 2017.

🚩 Previously displayed a gendered appearance, now shown as gender neutral.","[':bearded_person:\n(Github, Slack)\n', ':man_beard:\n(Emojipedia)\n']",['🚩'],,A person with a visible beard. Intended to be gender neutral from 2021. New gender-specific options for a woman with a beard or man with a beard were approved in Emoji 13.1.,"Person: Beard was approved as part of Unicode 10.0 in 2017
under the name “Bearded Person”
and added to Emoji 5.0 in 2017.
🚩 Previously displayed a gendered appearance, now shown as gender neutral."
👾,\U0001f47e,alien_monster,Alien Monster,"['Space Invader', 'Video Game Monster']","A friendly-looking, tentacled space creature with two eyes. Most major platforms style their design after aliens in classic arcade games like Space Invaders, rendering it purple and pixellated, as if in 8-bit graphics.
Samsung’s design resembles an octopus and previously featured a big-brained alien, à la Star Trek. Earlier designs from Google and Microsoft depicted more cartoon-like alien monsters.
May be used of topics concerning extraterrestrial life, outer space, gaming, and computing, but also enjoys a range of idiosyncratic applications, such as conveying a sense of weirdness, wackiness, or excitement, given that the emoji looks like it is raising its arms shouting Yay! on many platforms.

Alien Monster was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015.
","[':space_invader:\n(Github, Slack)\n', ':alien_monster:\n(Emojipedia)\n']",[],"May be used of topics concerning extraterrestrial life, outer space, gaming, and computing, but also enjoys a range of idiosyncratic applications, such as conveying a sense of weirdness, wackiness, or excitement, given that the emoji looks like it is raising its arms shouting Yay! on many platforms.","A friendly-looking, tentacled space creature with two eyes. Most major platforms style their design after aliens in classic arcade games like Space Invaders, rendering it purple and pixellated, as if in 8-bit graphics.
Samsung’s design resembles an octopus and previously featured a big-brained alien, à la Star Trek. Earlier designs from Google and Microsoft depicted more cartoon-like alien monsters.
May be used of topics concerning extraterrestrial life, outer space, gaming, and computing, but also enjoys a range of idiosyncratic applications, such as conveying a sense of weirdness, wackiness, or excitement, given that the emoji looks like it is raising its arms shouting Yay! on many platforms.","Alien Monster was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
